ourairports extra lat/lng match msfs ZMAH with ourairports ['6573', '00WN', 'small_airport', 'Hawks Run Airport', 46.25, -117.2490005493164, 883.9199717145609, '00WN', '00WN']
ourairports extra lat/lng match msfs 73TE with ourairports ['45291', '5AZ6', 'small_airport', 'Motown Airport', 32.925, -112.259444, 24.383999219712024, '5AZ6', '5AZ6']
ourairports extra lat/lng match msfs CJF5 with ourairports ['14432', '7U4', 'small_airport', 'Morgan Airport', 49.0, -107.825996399, 857.4023725631241, '7U4', '7U4']
ourairports extra lat/lng match msfs FNNM with ourairports ['340284', 'AO-0054', 'small_airport', 'Tômbua Airport', -15.8004, 11.8857, 0, '', '']
ourairports extra lat/lng match msfs CDU4 with ourairports ['38920', 'AR-0245', 'small_airport', 'Las Marias Airport', -28.1, -56.05, 124.96799600102413, '', 'VSO']
ourairports extra lat/lng match msfs YPTB with ourairports ['42871', 'AR-0449', 'small_airport', 'Pettilep Airport', -33.005, -61.0194, 60.95999804928006, '', 'PUP']
ourairports extra lat/lng match msfs SCRD with ourairports ['318230', 'AR-0511', 'small_airport', 'Agroalvear S.R.L. Airport', -33.06833, -60.66694, 31.69919898562563, '', 'ALV']
ourairports extra lat/lng match msfs SAIP with ourairports ['318253', 'AR-0525', 'small_airport', 'Salvita Airport', -23.2128, -64.0339, 282.8543909486595, '', 'SLV']
ourairports extra lat/lng match msfs SAIZ with ourairports ['318275', 'AR-0542', 'small_airport', 'Estancia La Carolina Airport', -33.07558, -60.715, 33.527998927104036, '', 'PLC']
ourairports extra lat/lng match msfs SAJC with ourairports ['318279', 'AR-0545', 'small_airport', 'Aeroagereo', -35.13588, -61.99717, 99.6695968105729, '', 'ROB']
ourairports extra lat/lng match msfs SAXI with ourairports ['318300', 'AR-0552', 'small_airport', 'Santa Clara de Saguier Airport', -31.35549, -61.82983, 108.50879652771852, '', 'SCL']
ourairports extra lat/lng match msfs SAXK with ourairports ['318305', 'AR-0556', 'small_airport', 'Establecimiento El 21 Airport', -26.8952, -62.30962, 166.11599468428818, '', 'TEV']
ourairports extra lat/lng match msfs SAXL with ourairports ['318306', 'AR-0557', 'small_airport', 'Tío Pujio Airport', -32.29307, -63.40197, 236.82959242145304, '', 'TIO']
ourairports extra lat/lng match msfs SAXP with ourairports ['318311', 'AR-0562', 'small_airport', 'Don Angel Airport', -33.93823, -64.40774, 243.83999219712024, '', 'VMA']
ourairports extra lat/lng match msfs SAOZ with ourairports ['318493', 'AR-0566', 'small_airport', 'Limay Mahuida Airport', -37.1201, -66.704, 0, '', '']
ourairports extra lat/lng match msfs LBSN with ourairports ['315510', 'BG-0024', 'small_airport', 'Krivnya Agricultural Airfield', 43.66307, 26.422251, 299.9231904024579, '', '']
ourairports extra lat/lng match msfs SBGI with ourairports ['317248', 'BR-0055', 'small_airport', 'Tesouro Airport', -16.0734, -53.5692, 453.2375854963973, '', '']
ourairports extra lat/lng match msfs SBAI with ourairports ['317259', 'BR-0059', 'small_airport', 'Anicuns Airport', -16.4468, -49.9711, 746.7599761036807, '', '']
ourairports extra lat/lng match msfs SBDD with ourairports ['318366', 'BR-0074', 'small_airport', "Alta Floresta D'Oeste Airport", -11.919358, -61.97612, 0, '', '']
ourairports extra lat/lng match msfs SBUT with ourairports ['323725', 'BR-0244', 'small_airport', 'Solonópole Airstrip', -5.713798, -39.00966, 0, '', '']
