42257,"AE-0001","small_airport","Batha Airport",24.214693,51.44989,,"AS","SA","SA-04","Batha","yes","OEBT",,,,,"Ras Sumeira UAE,"
44426,"AE-0002","heliport","Burj al Arab Resort Helipad",25.141327,55.185496,689,"AS","AE","AE-DU","Dubai","no",,,,"http://www.jumeirah.com/en/Hotels-and-Resorts/Destinations/Dubai/Burj-Al-Arab/",,
300977,"AE-0003","small_airport","Dubai Skydive",25.0898742332,55.1366257668,,"AS","AE","AE-DU",,"no",,,,"http://www.skydivedubai.ae/facilities/index.htm",,
307257,"AE-0004","heliport","Sheikh Sultan Bin Khalifa bin Zayed Al Nahyan palace Heliport Complex",25.1225658976,55.1746809483,,"AS","AE","AE-DU",,"no",,,,,,
307258,"AE-0005","heliport","Kempinski Emirates Palace Twin Heliport",24.462267882799996,54.3205904961,,"AS","AE","AE-UQ",,"no",,,,,"http://en.wikipedia.org/wiki/Emirates_Palace",
313546,"AE-0006","seaplane_base","Jebel Ali Seaplane Base",24.988967,55.023796,0,"AS","AE","AE-DU","Jebel Ali","no",,"DJH",,,,
313547,"AE-0007","heliport","Al Ghuwaifat Border Post helipad",24.120421,51.600595,,"AS","AE","AE-DU",,"no",,,,,,
313548,"AE-0008","heliport","Al Ghuwaifat Customs Post helipad",24.128339,51.616767,,"AS","AE","AE-DU",,"no",,,,,,
315508,"AE-0009","heliport","Delma Hospital Helipad",24.4756,52.3101,17,"AS","AE","AE-AZ","Delma Island","no",,,,,,
319172,"AE-0010","heliport","Schumacher Heliport",25.221807,55.138836,,"AS","AE","AE-DU","Dubai","no",,,,,,
319174,"AE-0011","heliport","Palm Jumeirah Heliport",25.127297,55.114092,,"AS","AE","AE-DU",,"no",,,,,,
319175,"AE-0012","heliport","Waldorf Astoria Dubai Palm Jumeirah Helipad",25.133372,55.150379,,"AS","AE","AE-DU",,"no",,,,,,
319176,"AE-0013","heliport","Oceana Palm Jumeirah Helipad",25.110083,55.135169,,"AS","AE","AE-U-A",,"no",,,,,,
319177,"AE-0014","heliport","Ghantoot Racing & Polo Club Helipad",24.86824,54.905556,,"AS","AE","AE-AZ",,"no",,,,"http://www.grpc.ae/helipad.html",,
319178,"AE-0015","heliport","Golden Tulip Al Jazira Helipad",24.858628,54.894996,,"AS","AE","AE-AZ",,"no",,,,,,
319179,"AE-0016","heliport","Ghantoot Hotel 1 Helipad",24.866038,54.88826,,"AS","AE","AE-AZ",,"no",,,,,,
319180,"AE-0017","heliport","Ghantoot Hotel 2 Helipad",24.865417,54.882283,,"AS","AE","AE-AZ",,"no",,,,,,
319181,"AE-0018","heliport","Ghantoot Hotel 3 Helipad",24.894949,54.860294,,"AS","AE","AE-AZ",,"no",,,,,,
319183,"AE-0019","heliport","Dubai Festival City Helipad",25.220765,55.349227,,"AS","AE","AE-DU","Dubai","no",,,,,,
319184,"AE-0020","heliport","Yas Marina Heliport",24.468368,54.609561,,"AS","AE","AE-AZ","Abu Dhabi","no",,,,,,
319185,"AE-0021","heliport","Yas Marina Circuit Heliport",24.469136,54.603443,,"AS","AE","AE-AZ","Abu Dhabi","no",,,,,,
319187,"AE-0022","heliport","Al Mushrif Palace Helipad",24.452066,54.377368,,"AS","AE","AE-AZ","Abu Dhabi","no",,,,,,
319188,"AE-0023","heliport","Al Forsan Helipad",24.406998,54.543507,,"AS","AE","AE-AZ",,"no",,,,,,
319192,"AE-0024","small_airport","Yasat Higher Airport",24.221075,52.006719,,"AS","AE","AE-AZ",,"no",,,,,,
319193,"AE-0025","heliport","Sila Hospitals Helipad",24.068301,51.762519,,"AS","AE","AE-AZ","Baya Al Sila","no",,,,,,
325303,"AE-0026","closed","Erase Me 21",0,-0.6,,"AS","AE","AE-U-A",,"no",,,,,,
325970,"AE-0027","closed","marked as spam",0,0,,"AS","AE","AE-U-A",,"no","0000",,,,,
329478,"AE-0028","small_airport","osman anisa",0,0,,"AS","AE","AE-DU","Business Bay","no",,,,,,
329785,"AE-0029","closed","DUPLICATE: Dubai Creek Golf & Yacht Club",0.7,0,,"AS","AE","AE-DU","Dubai","no",,,"DGC",,,
329796,"AE-0030","medium_airport","FIVE STAR FINANCE COMPANY",0,0,,"AS","AE","AE-DU",,"no",,,,,,
330825,"AE-0031","medium_airport","farhan",0,0,,"AS","AE","AE-AJ","dubai","no",,,,,,
330359,"AEQ","small_airport","Ar Horqin Airport",43.87042,120.15958,1335,"AS","CN","CN-15","Chifeng","no",,"AEQ",,,"https://en.wikipedia.org/wiki/Ar_Horqin_Airport",
35352,"AF-0001","small_airport","Ajrestan Airport",33.48529815673828,67.14409637451172,8324,"AS","AF","AF-ORU","Ajrestan","no",,,,,,
35353,"AF-0002","small_airport","Dehdadi Airport",36.64609909057617,67.03230285644531,1378,"AS","AF","AF-BAL",,"no",,,,,,
35354,"AF-0003","small_airport","Charikar Airport",35.14310073852539,69.31439971923828,5569,"AS","AF","AF-KAP",,"no",,,,,,
35355,"AF-0004","small_airport","Dostmohammadkhan Kalay Airport",31.045000076293945,64.1541976928711,2333,"AS","AF","AF-HEL",,"no",,,,,,
325721,"AF-0005","closed","F@# Off Spammer!",0.7,0.7,,"AS","AF","AF-U-A",,"no",,,,,,
35359,"AF04","small_airport","Helmand Airport",30.33009910583496,61.89690017700195,,"AS","AF","AF-NIM",,"no",,,,,,
35360,"AF06","small_airport","Khvej Ghar North Airport",37.07109832763672,69.49500274658203,1645,"AS","AF","AF-TAK",,"no",,,,,,
35361,"AF07","small_airport","Khvej Ghar South Airport",37.06119918823242,69.48829650878906,1645,"AS","AF","AF-TAK",,"no",,,,,,
35362,"AF08","small_airport","Kotubkhel Airport",34.192901611328125,69.13569641113281,6273,"AS","AF","AF-LOW",,"no",,,,,,
35363,"AF09","small_airport","Nayak Airport",34.68709945678711,66.89320373535156,8650,"AS","AF","AF-BAM",,"no",,,,,,
35364,"AF10","small_airport","Orūzgān Airport",32.9029998779,66.630897522,6725,"AS","AF","AF-ORU","Orūzgān","no","OARG","URZ",,,,"Uruzgan, Urozgan"
35365,"AF11","small_airport","Salerno Landing Zone Airport",33.363800048799995,69.9561004639,3780,"AS","AF","AF-PIA",,"no",,"OLR",,,"http://en.wikipedia.org/wiki/FOB_Salerno",
35366,"AF12","small_airport","Sarhawdza Landing Zone Airport",33.15610122680664,68.8197021484375,7060,"AS","AF","AF-PKA",,"no",,,,,,
35367,"AF13","small_airport","Sheber Too Landing Zone Airport",34.778900146484375,67.48670196533203,10490,"AS","AF","AF-BAM",,"no",,,,,,
35368,"AF14","small_airport","Tapa Airport",32.74509811401367,62.59870147705078,2622,"AS","AF","AF-FRA",,"no",,,,,,
35369,"AF15","heliport","Qara Tepa Heliport",37.423301696777344,69.4302978515625,1437,"AS","AF","AF-TAK",,"yes",,,,,,
309041,"AFK","seaplane_base","Kondavattavana Tank Seaplane Base",7.284,81.644,95,"AS","LK","LK-5","Ampara","no",,"AFK",,,,
312371,"AHJ","medium_airport","Hongyuan Airport",32.53154,102.35224,11600,"AS","CN","CN-51","Aba","no","ZUHY","AHJ",,,"http://en.wikipedia.org/wiki/Hongyuan_Airport",
44682,"AM-0001","closed","Kapan Airport",39.202999115,46.4550018311,,"AS","AM","AM-SU","Kapan","no",,,,,"http://en.wikipedia.org/wiki/Kapan#Transportation",
44847,"AM-0002","small_airport","Shinuyar Airport",39.45098876949999,46.347240448,,"AS","AM","AM-SU","Goris","no",,,,,"http://en.wikipedia.org/wiki/Shinuyar_Airport",
44931,"AM-0003","small_airport","Hoktember Highway Strip",40.0809774791,43.8822698593,,"AS","AM","AM-AV","Hoktember","no",,,,,,"Oktember, Հոկտեմբեր, Sardarapat"
44944,"AM-0004","small_airport","Berd Airport",40.925405606300004,45.4614043236,,"AS","AM","AM-TV","Berd","no",,,,,,"Բերդ, Berrdagyugh, Berrdgyugh, T’avuzghala, T’auzk’end, T’ovuz, T’ous, Taua Kale, T’auzkala, Taya-Kala, Tovuzkala, Bert, T’ous Gale, Volorut, Shlorut, Ghalak’yand, T’uzukala"
44963,"AM-0005","closed","Gavar Airport",40.371201153899996,45.0973320007,,"AS","AM","AM-GR","Gavar","no",,,,,,"Գավառ, Kyavar, Nor Bayezid, Novyi Bayaset, Novo Bayazet, Nor Bayazet, and Nor-Bajaset, Kamo"
44964,"AM-0006","closed","Mets Mazrik Airstrip",40.1998548891,45.7771110535,,"AS","AM","AM-GR","Mets Mazrik","no",,,,,,
308048,"AM-0007","closed","Meghri Airport",38.9115725716,46.198925972,3900,"AS","AM","AM-SU","Meghri","no",,,,,,
331215,"AM-0008","large_airport","Molvibabaji",0,0,,"AS","AM","AM-U-A","Navi Mumbai","yes",,,,,,
32422,"AS-TAV","small_airport","Tau Airport",-14.2292003632,-169.511001587,185,"OC","AS","AS-U-A","Tau Village","no",,"TAV","HI36",,"http://en.wikipedia.org/wiki/Tau_Airport",
314558,"AXF","medium_airport","Alxa Left Banner Bayanhot Airport",38.74831,105.58858,4560,"AS","CN","CN-15","Bayanhot","yes","ZBAL","AXF",,,"http://en.wikipedia.org/wiki/Alxa_Left_Banner_Bayanhot_Airport",
317271,"AYM","seaplane_base","Yas Island Seaplane Base",24.467,54.6103,0,"AS","AE","AE-AZ","Abu Dhabi","no",,"AYM",,,,
300786,"AYY","seaplane_base","Arugam Bay SPB",6.86,81.82388888890002,,"AS","LK","LK-5","Pottuvil","no",,"AYY",,,,
44941,"AZ-0001","medium_airport","Zabrat Airport",40.4955422161,49.9768066406,36,"AS","AZ","AZ-BA","Baku","no","UBTT","ZXT",,,"https://en.wikipedia.org/wiki/Zabrat_Airport",
44942,"AZ-0002","small_airport","Khachmas Airfield",41.4578767267,48.83039832119999,,"AS","AZ","AZ-XAC",,"no",,,,,,
44943,"AZ-0003","small_airport","Shaki Airport",41.136552672499995,47.1595001221,,"AS","AZ","AZ-SA",,"no",,,,,,
44945,"AZ-0004","small_airport","Naftalan Airport",40.515919835599995,46.8294811249,,"AS","AZ","AZ-GOR",,"no",,,,,,
44946,"AZ-0005","small_airport","Tanrykulular Airport",40.742900144699995,46.8570113182,,"AS","AZ","AZ-YE",,"no",,,,,,
44947,"AZ-0006","small_airport","Aghdas Airport",40.663427608300005,47.514098882700004,,"AS","AZ","AZ-AGS",,"no",,,,,,
44948,"AZ-0007","closed","Göyçay Airport",40.6231834773,47.7628523111,,"AS","AZ","AZ-GOY",,"no",,,,,,
44949,"AZ-0008","small_airport","Bygyr Airport",40.529074712500005,47.8300738335,,"AS","AZ","AZ-GOY",,"no",,,,,,
44950,"AZ-0009","small_airport","Mollakend Airport",40.1204185512,48.14571619029999,,"AS","AZ","AZ-KUR",,"no",,,,,,
44951,"AZ-0010","small_airport","Agdzhabedi Airport",40.0222906243,47.4493503571,,"AS","AZ","AZ-AGC",,"no",,,,,,
44952,"AZ-0011","small_airport","Fizuli East Airport",39.5945777411,47.1961283684,,"AS","AZ","AZ-FUZ",,"no",,,,,,
44953,"AZ-0012","small_airport","Aghdam Airport",39.9760019628,47.000144720099996,,"AS","AZ","AZ-AGM",,"no",,,,,,
44954,"AZ-0013","medium_airport","Sital Chay Airport",40.8073129238,49.431481361399996,,"AS","AZ","AZ-XIZ",,"no",,,,,,
44955,"AZ-0014","small_airport","Baku Lokbatan Airport",40.3499619803,49.6697258949,,"AS","AZ","AZ-BA",,"no",,,,,,
44956,"AZ-0015","small_airport","Sangachaly Air Base",40.1297707563,49.4549560547,,"AS","AZ","AZ-BA",,"no",,,,,,
44957,"AZ-0016","small_airport","Pirsagat Airport",39.8539990554,49.340018034,,"AS","AZ","AZ-BA",,"no",,,,,,
44958,"AZ-0017","small_airport","Kazı Magomed Airport",40.0309399667,48.902764320399996,,"AS","AZ","AZ-HAC",,"no",,,,,,
44959,"AZ-0018","small_airport","Karachala Airport",39.831790367,48.9667510986,,"AS","AZ","AZ-SAL",,"no",,,,,,
44960,"AZ-0019","small_airport","Salyany Air Base",39.649550370200004,48.9915776253,,"AS","AZ","AZ-SAL",,"no",,,,,,
44961,"AZ-0020","closed","Pushkino East Air Base",39.516042989899994,48.690633773799995,,"AS","AZ","AZ-BIL",,"no",,,,,,
44962,"AZ-0021","medium_airport","Kyzylagadzh Air Base",39.006162267899995,48.806312084199995,,"AS","AZ","AZ-MAS",,"no",,,,,,
319190,"BH-0001","heliport","Bahrain International Circuit Heliport",26.029738,50.511709,,"AS","BH","BH-14",,"no",,,,,,
300791,"BJQ","small_airport","Bahja Airport",19.8730555556,56.067777777799996,515,"AS","OM","OM-WU","Bahja","no",,"BJQ",,,,
