Name,Latitude,Longitude,Elevation [Feet],Turnpoint,ID[6],Comments,ICAO Identifier
Aboyne Bridge,57.0702167,-2.7873167,450,Road Br over R Dee,AbnBrg,"S side of village where B968 crosses R. Dee, 2NMl E of airfield, under CTA base 3000. Easy to find and on chart.",
Abbot's Bromley,52.813,-1.9099,328,Reservoir/B5013 E,AbbtsB,"E end of B5013 crossing water, 1.5 NMl W of town. Easy to find and on chart.",
Aboyne Dinnet,57.0716833,-2.88995,492,B9119/River Bridge,AbnDnn,Bridge over river Dee joining roads running N & S of river 2 NML W of gliding site. Easy to find and on chart.,
Abergavenny,51.8095833,-3.0097833,230,A465/A40 R'bt,Abrgvn,"SSE side of town 600m E of river, 100m W of rly. Easy to find and on chart.",
Aberfeldy,56.6211667,-3.8738,197,B846/River Tay,Abrfld,"Bridge NW of town towards Weem village, N of A827. Easy to find and on chart.",
Abington,55.5034333,-3.6957667,853,M74/A702/A73,Abngtn,A702 Flyover over M74 at J13 (Abington Services). N side of village 10 NMlSSE of Lanark. Easy to find and on chart.,
Aberfoyle,56.1786167,-4.3845,66,A821/B829,Aberfl,T Junction W of town where A821 goes N towards Loch Katrine. Easy to find and on chart.,
Abingdon Bridge,51.6686667,-1.2794333,164,A415 br over River Thames,Abngdn,SE side of town just S of church tower.  Small island is in middle of bridge. Easy to find and on chart.,
Aboyne,57.07525,-2.84285,460,Clubhouse,Aboyne,"Deeside GC site, 1.5 NMl W of Aboyne village & CTA base 3000 ft. Difficult to find.",
Aberchirder,57.5585333,-2.6300333,394,A97/B9023,Abrchr,T junction SW side of town.  6 NMl W of Turriff. Easy to find but not on chart.,
Abergavenny SW,51.8004167,-3.06035,1833,1833ft Trig point,Aberga,"2nm SW of Abergavenny, top of mountain called Blorenge.  Point intended for ridge soaring cross-countries, watch for hang gliders. Easy to find and on chart.",
Aberystwyth Pier,52.4163333,-4.0881833,15,Sea end,Abrstw,W side of town.  Note laser area centred 1 NMl E of pier. Easy to find but not on chart.,
Alconbury,52.3786667,-0.2554167,160,A1/A14,Alcnbr,Flyover where A14 goes over A1 4NMl NNW of Huntingdon. Easy to find and on chart.,
Accrington NE,53.7813833,-2.3291333,395,M65 J8 with A56,Accrng,Bet Accrington & Burnley.  TMA to S. Easy to find and on chart.,
Achnasheen,57.5782333,-5.0801667,510,A832/A890,Achnsh,Roundabout SW side of village. Easy to find and on chart.,
Achnabourin,58.488,-4.2128,115,A836/B871,Achnbr,T Junction 2 NML S of Bettyhill on N coast of Scotland.  150m W of River Naver. Easy to find but not on chart.,
Aston Down Finish N,51.7144333,-2.1244333,600,Centre of finish line,Fin N,"N side of airfield, just S of A419. Local knowledge required.",
Aston Down Finish S,51.7002667,-2.1383333,600,Centre of finish line,Fin S,S side of airfield. Local knowledge required.,
Aberdare SE,51.7003833,-3.4157167,394,Bridge,AbrdrS,A4059 bridge over river Cynon between Aberdare and Mountain Ash. Easy to find but not on chart.,
Andoversford,51.8757833,-1.9642167,541,A436/A40,Andvrs,Most N of two T junctions near village centre. Easy to find and on chart.,
Aberdaron,52.80455,-4.7120333,33,River bridge,Abrdrn,"B4413 bridge in centre of village, in south end of RAF Valley Air Tactics Area (125.225 MHz). Easy to find and on chart.",
Alfriston Bridge,50.8116333,0.1622333,30,River Bridge,Alfrst,Road Bridge over River Cuckmere NE side of Alfriston village.  On South Downs ridge 4 NMl W of Eastbourne. Difficult to find.,
Alford,57.2378667,-2.72545,492,A944/A980,Alford,T junction W of town. Easy to find and on chart.,
Abergele South,53.2520667,-3.5960833,509,A548/B5381,AbrglS,2.5 NMl S of coast at bottom of ridge to S. Easy to find and on chart.,
Altnaharra,58.2868333,-4.4429667,255,A836 river br,Altnhr,"Over R Mudale, west end of Loch Naver. Easy to find and on chart.",
Alnwick E,55.4066,-1.68115,134,A1/A1068,Alnwck,E side of town. Easy to find and on chart.,
Aln Bridge,55.4053833,-1.8632167,195,A697/River Aln,AlnBrg,Bridge over R Aln 6NMl W of Alnwick. Easy to find and on chart.,
Alcester,52.2073,-1.8773333,148,River/A46,Alcstr,"Br. over R. Arrow SSW edge of town, between two rbts. Easy to find and on chart.",
Aylesham,51.2281,1.2090667,272,Station,Aylshm,E side of village. Difficult to find.,
Alfreton,53.1012,-1.3244333,253,M1 J28/A38,Alfrtn,"2 NMl E of town, towards Mansfield. Easy to find and on chart.",
Allendale Bridge,54.8966,-2.2586833,709,River Bridge,Allndl,"B6295 Bridge over River East Allen, W side of town. Easy to find and on chart.",
