Number,Name,Elevation [Feet],Latitude,Longitude,Control P,ID[3],ID[5],ID[6],ID[10],ID[12],ICAO Identifier
30,Allensville,960.00,40.5358333,-77.8175,T,ALL,Allns,Allnsv,Allensvill,Allensville,
25,Bedford,1161.00,40.0863889,-78.5136111,TA,BDF,Bdfrd,Bedfrd,Bedford,Bedford,HMZ
4,Belleville,932.00,40.5794444,-77.7263889,T,BLL,Bllvl,Bllvll,Belleville,Belleville,
20,Blair County,1504.00,40.2972222,-78.32,TA,BLR,BlrCn,BlrCnt,BlairCount,Blair County,AOO
27,Bloomsburg,481.00,40.9975,-76.4358333,TA,BLM,Blmsb,Blmsbr,Bloomsburg,Bloomsburg,N13
24,Breezewood,1240.00,39.9852778,-78.2436111,T,BRZ,Brzwd,Brezwd,Breezewood,Breezewood,
15,Clarks Ferry,350.00,40.4016667,-77.0105556,T,CLR,Clrks,ClrksF,ClarksFerr,Clarks Ferry,
29,Cumberland Valley,732.00,39.6152778,-78.7619444,TA,CMB,Cmbrl,Cmbrln,CmbrlndVll,CumberlndVll,CBE
36,Dickey's Mtn,1900.00,39.7616667,-78.0608333,T,DCK,DcksM,DcksMt,DickeysMtn,Dickeys Mtn,
38,Evitts South,1508.00,39.7016667,-78.6713889,T,EVT,Evtts,EvttsS,Evitts S,Evitts South,
51,Finish,819.00,40.6791667,-77.6244444,DFH,FNS,Finsh,Finish,Finish,Finish,RVL
1,Honey Grove,672.00,40.4022222,-77.5533333,T,HNG,HnGrv,HonGrv,HoneyGrove,Honey Grove,
17,Kettle Dam,1717.00,40.5066667,-78.35,T,KTT,KttlD,KttlDm,Kettle Dam,Kettle Dam,
7,Keystone GP,815.00,40.8847222,-77.9061111,TD,KST,KstnG,KstnGP,KeystoneGP,Keystone GP,79N
14,Lock Haven,555.00,41.1361111,-77.4222222,TA,LCK,LckHv,LckHvn,Lock Haven,Lock Haven,LHV
22,McConnellsburg,961.00,39.9325,-77.9994444,T,MCC,McCnn,McCnnl,McCnnllsbr,McConnllsbrg,
13,Midstate,1948.00,40.8841667,-78.0869444,TA,MDS,Mdstt,Midstt,Midstate,Midstate,PSB
3,Mifflin,819.00,40.6791667,-77.6244444,TD,MFF,Mffln,Miffln,Mifflin,Mifflin,RVL
5,Mifflintown,545.00,40.5988889,-77.4058333,TA,MIF,Miffl,Mfflnt,Mifflintwn,Mifflintown,P34
9,Mill Creek,2150.00,40.4305556,-77.8852778,TP,MLL,MllCr,MllCrk,Mill Creek,Mill Creek,3PS4
21,Nisbet,530.00,41.2177778,-77.1147222,T,NSB,Nisbt,Nisbet,Nisbet,Nisbet,
23,Northumberland,886.00,40.8369444,-76.5530556,TA,NRT,Nrthm,Nrthmb,Nrthmbrlnd,Northumbrlnd,N79
2,Orbisonia,629.00,40.2408333,-77.8969444,T,ORB,Orbsn,Orbisn,Orbisonia,Orbisonia,
6,Penns Cave,1260.00,40.89,-77.6030556,TA,PNN,PnnsC,PnnsCv,Penns Cave,Penns Cave,N74
28,Potomac,413.00,39.6927778,-78.1669444,TA,PTM,Potmc,Potomc,Potomac,Potomac,W35
37,Quarry,1182.00,39.6997222,-78.7752778,T,QRR,Quarr,Quarry,Quarry,Quarry,
11,Raystown Dam,954.00,40.4305556,-78.0041667,T,RST,Rstwn,RstwnD,RaystownDm,Raystown Dam,
8,Saw Mill,750.00,40.7833333,-77.2666667,T,SWM,SwMll,SawMll,Saw Mill,Saw Mill,
26,Schuylkill Co,1729.00,40.7055556,-76.3752778,TA,SCH,Schlk,Schlkl,SchuylkllC,SchuylkillCo,ZER
